geoid,name,total_population,total_population_25_over,median_income,median_home_value,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,city,metro_area,total_population_25_under,proportion_25_under
11001004300,"Census Tract 43, District of Columbia, District of Columbia",4033,3421.0,95000.0,694600.0,2729.0,2324.0,950.0,0.0,156.0,0.0,0.0,130.0,473.0,Washington,Washington-Arlington-Alexandria,612.0,0.15174807835358295
11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",2837,2291.0,103500.0,739100.0,1518.0,1125.0,1022.0,0.0,186.0,0.0,12.0,70.0,422.0,Washington,Washington-Arlington-Alexandria,546.0,0.19245682058512514
11001006500,"Census Tract 65, District of Columbia, District of Columbia",2604,2072.0,125536.0,891800.0,1862.0,1999.0,305.0,0.0,6.0,0.0,0.0,19.0,275.0,Washington,Washington-Arlington-Alexandria,532.0,0.20430107526881722
11001007100,"Census Tract 71, District of Columbia, District of Columbia",3425,2333.0,72109.0,550300.0,1247.0,1099.0,1985.0,0.0,101.0,0.0,0.0,74.0,166.0,Washington,Washington-Arlington-Alexandria,1092.0,0.3188321167883212
11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",3039,1830.0,35488.0,220600.0,30.0,0.0,3039.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington,Washington-Arlington-Alexandria,1209.0,0.39782823297137215
11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",4311,3413.0,64810.0,510300.0,1305.0,1053.0,2980.0,14.0,63.0,0.0,35.0,25.0,141.0,Washington,Washington-Arlington-Alexandria,898.0,0.20830433774066343
11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",3635,2638.0,44229.0,230600.0,320.0,0.0,3500.0,0.0,0.0,0.0,0.0,21.0,114.0,Washington,Washington-Arlington-Alexandria,997.0,0.27427785419532325
11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",2171,1528.0,38438.0,250300.0,204.0,16.0,2049.0,0.0,6.0,0.0,0.0,14.0,86.0,Washington,Washington-Arlington-Alexandria,643.0,0.29617687701520035
11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",2352,2118.0,93011.0,676900.0,1602.0,1532.0,628.0,0.0,20.0,0.0,0.0,95.0,77.0,Washington,Washington-Arlington-Alexandria,234.0,0.09948979591836735
11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3334,2416.0,120526.0,1057700.0,2207.0,2339.0,285.0,19.0,268.0,0.0,13.0,100.0,321.0,Washington,Washington-Arlington-Alexandria,918.0,0.27534493101379726
11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",2317,1245.0,20513.0,231700.0,171.0,33.0,2178.0,5.0,0.0,0.0,0.0,51.0,50.0,Washington,Washington-Arlington-Alexandria,1072.0,0.46266724212343546
11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",2051,1131.0,23625.0,215400.0,131.0,7.0,1979.0,0.0,0.0,0.0,0.0,0.0,65.0,Washington,Washington-Arlington-Alexandria,920.0,0.4485616772306192
11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",2826,1707.0,36559.0,217900.0,190.0,27.0,2476.0,0.0,9.0,0.0,0.0,98.0,216.0,Washington,Washington-Arlington-Alexandria,1119.0,0.39596602972399153
